Month,Posting Date,Category,CustomerName,,Ship-to Code,BILL TO STATE,Item/Service Description,Qty,Basic Value
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Kerala,BTW12 KHROME BK,-1,"-1,007.60"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Kerala,EM06-TYPE-C-BL,-1,-295.8
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Telangana,BTW100 KHROME-BK-RCT,-1,"-1,016.10"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Karnataka,EM01 TYPE C BK,-1,-465.3
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Odisha,BTW100-XTREME-BL,-1,"-1,100.80"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Uttar Pradesh,BE100-XTREME-BK,-1,"-1,100.85"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Telangana,EM01 TYPE C BK,-1,-465.3
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Andhra Pradesh,SBW550 BK,-1,"-8,465.25"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Delhi,BTW20 BK,-1,-846.6
May-2024,06/05/2024,Customer Sale,ZENRISE HEALTHLINE,,BASEMENT FLOOR,Gujarat,BTW300-PLATINUM-BK,1,"3,134.75"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Kerala,SBA15-GM,-1,"-1,100.80"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Bihar,EM01 TYPE C BK,-1,-465.3
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Telangana,SBW600 BK,-1,"-19,914.40"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Tamil Nadu,EM01 TYPE C BK,-1,-465.3
May-2024,06/05/2024,Customer Sale,BI WORLD WIDE INDIA PVT. LTD,,CHENNAI,Tamil Nadu,SBA15-GM,50,"59,746.00"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Odisha,BTW07 ANC BL,-1,"-2,223.70"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Dadra & Nagar Haveli and Daman & Diu,BTW100 XTREME WH,-1,"-1,100.80"
May-2024,06/05/2024,Customer Sale,Simpl (BIL Sigma Technologies Pvt Ltd),,,Kerala,TS120 BK,-1,"-8,092.40"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Kerala,EM06-TYPE-C-BL,-1,-295.8
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Telangana,SBA20 BK,-1,"-1,143.20"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Tamil Nadu,SBA15 BK,-1,-804.2
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,West Bengal,SBA20 BK,-1,"-1,143.20"
May-2024,06/05/2024,Customer Sale,CRED-B2C SALE,,,Odisha,SBA20 BK,-1,"-1,016.10"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Andhra Pradesh,SBA20 BK,-1,"-1,143.20"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Karnataka,SBA15 BK,-1,-804.2
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Jharkhand,BTW12-KHROME-BL,-1,"-1,016.10"
